english,word,score
achievement,Erfolg,2.10
time,Zeit,0.13
vehicle,Fahrzeug,0.38
education,Bildung,1.88
opinion,Meinung,1.50
cemetery,Friedhof,-1.60
treasure,Schatz,2.30
hammer,Hammer,-0.32
traitor,Verräter,-2.13
talent,Talent,2.05
mother,Mutter,2.05
nature,Natur,2.35
maggot,Made,-1.36
delight,Wonne,1.85
rape,Vergewaltigung,-2.88
bastard,Bastard,-1.50
jewel,Schmuck,1.30
custom,Brauch,0.42
rabies,Wut,-1.40
trumpet,Trompete,0.33
father,Vater,2.10
privacy,Privatheit,0.67
suicide,Selbstmord,-2.53
inspire,inspirieren,1.47
tree,Baum,1.50
sapphire,Saphir,1.50
lucky,ein Glückspilz sein,2.03
slum,Slum,-1.26
slave,Sklave,-2.20
life,Leben,2.38
poison,Gift,-2.50
cancer,Krebs,-1.86
party,Feier,2.10
thief,Dieb,-1.80
measles,Masern,-1.36
accident,Unfall,-2.35
hatred,Hass,-2.29
abuse,Misshandlung,-2.60
kindness,Liebenswürdigkeit,2.00
birthday,Geburtstag,1.91
cyclone,Wirbelsturm,-0.88
dress,Kleid,0.67
hide,verstecken,-0.43
sunset,Sonnenuntergang,2.48
pest,Pest,-2.80
slime,Schleim,-1.40
luscious,köstlich,2.18
peace,Frieden,2.53
chair,Stuhl,0.50
valentine,verliebt,2.56
vanity,Eitelkeit,-1.27
paper,Papier,0.13
music,Musik,2.40
table,Tisch,0.50
dream,Traum,1.50
triumph,Triumph,2.00
pervert,pervers,-2.10
gangrene,Wundbrand,-2.44
love,Liebe,2.90
flower,Blume,2.15
sex,Sex,2.60
tornado,Tornado,-1.50
slap,Ohrfeige,-2.00
irritate,irritieren,-0.73
obesity,Fettleibigkeit,-1.93
fungus,Pilz,-0.50
shadow,Schatten,-0.35
rotten,verfault,-2.06
graduate,graduiert,0.57
seasick,seekrank,-2.00
beggar,Bettler,-1.05
seat,Sitz,0.13
mildew,Schimmelpilz,-1.88
circus,Zirkus,0.85
slaughter,Gemetzel,-2.30
stupid,dumm,-1.67
errand,Erledigung,0.60
confident,überzeugt,1.47
orchestra,Orchester,0.80
execution,Hinrichtung,-2.67
waterfall,Wasserfall,1.07
beauty,Schönheit,2.06
killer,Mörder,-2.44
diploma,Diplom,1.80
god,Gott,1.50
loneliness,Einsamkeit,-1.71
spouse,Ehemann,0.93
book,Buch,1.91
agony,Qual,-2.70
paralysis,Lähmung,-1.73
millionaire,Millionär,1.18
girl,Mädchen,1.32
fire,Feuer,0.05
death,Tod,-2.80
reward,Belohnung,1.47
nectar,Nektar,1.20
revolt,Revolte,0.36
lice,Läuse,-1.44
engine,Motor,0.45
spirit,Geist,1.10
movie,Film,1.50
truth,Wahrheit,2.50
baby,Baby,1.90
sleep,schlafen,2.00
coffin,Sarg,-2.30
menace,Bedrohung,-1.86
blackmail,Erpressung,-2.07
riches,Reichtum,1.50
bankrupt,bankrott,-2.30
perfection,Vollkommenheit,1.80
water,Wasser,1.55
wise,weise,1.80
passion,Leidenschaft,2.00
corpse,Leiche,-2.45
comedy,Komödie,1.64
health,Gesundheit,1.97
romantic,romantisch,1.40
smallpox,Pocken,-1.93
beach,Strand,2.10
rescue,Rettung,2.13
idiot,Idiot,-2.00
enjoyment,Genuss,2.13
tomb,Grab,-2.30
thoughtful,rücksichtsvoll,1.46
ocean,Ozean,1.90
punishment,Strafe,-2.40
sweetheart,Verlobter,1.05
jail,Gefängnis,-2.26
headache,Kopfschmerz,-2.00
horror,Abscheu,-2.10
tobacco,Tabak,0.30
salute,Salut,0.18
church,Kirche,0.05
world,Welt,1.90
pie,Kuchen,1.60
stress,Stress,-1.33
month,Monat,0.30
cockroach,Kakerlake,-1.73
jelly,Marmelade,0.80
easygoing,duldsam,0.74
assassin,ermorden,-2.21
plant,Pflanze,1.50
moment,Moment,0.38
woman,Frau,1.40
politeness,Höflichkeit,1.60
trust,Vertrauen,2.21
justice,Gerechtigkeit,2.33
engaged,engagiert,1.81
glacier,Gletscher,0.57
torture,Folter,-2.80
fragrance,Duft,1.70
river,Fluss,0.94
destroy,zerstören,-2.53
laughter,Lachen,2.65
wealthy,wohlhabend,1.40
blossom,blühen,1.60
sickness,Krankheit,-1.74
tragedy,Tragödie,-1.33
demon,Dämon,-1.43
boy,Junge,0.80
radio,Radio,0.75
glamour,Glamour,0.87
despise,verachten,-1.74
filth,Schmutz,-1.10
miracle,Wunder,1.85
divorce,Scheidung,-1.81
city,Stadt,0.87
sissy,Memme,-1.36
depression,Depression,-2.40
ambulance,Krankenwagen,-0.79
person,Person,0.50
kerosene,Kerosin,-0.67
scurvy,Skorbut,-1.73
doctor,Doktor,0.80
lie,Lüge,-2.12
bless,segnen,1.30
fame,Ruhm,1.70
guillotine,Guillotine,-2.29
terrible,schrecklich,-2.00
honest,ehrlich,2.20
morbid,krankhaft,-1.73
autumn,Herbst,1.10
decompose,Verwesung,-2.03
candy,Bonbon,1.70
rusty,oxidiert,-0.07
funeral,Begräbnis,-2.07
fur,Pelz,-0.30
home,Heim,-0.21
friend,Freund,2.56
ship,Schiff,0.91
excuse,Ausrede,-1.06
rat,Ratte,-0.95
blind,blind,-1.64
assault,Angriff,-2.00
